txn_id,source,city,area,building,property_type,bedrooms,size_sqft,annual_rent,txn_date
rent_00059,dld,Dubai,Jumeirah Village Circle,Pantheon,apartment,0,476.7,44600.0,2026-05-03
rent_00060,dld,Dubai,Jumeirah Village Circle,Belgravia,apartment,1,700.0,57200.0,2026-02-19
rent_00061,dld,Dubai,Jumeirah Village Circle,Pantheon,apartment,1,740.2,58900.0,2026-01-13
rent_00062,dld,Dubai,Jumeirah Village Circle,Pantheon,apartment,1,723.1,63700.0,2026-03-13
rent_00063,dld,Dubai,Jumeirah Village Circle,Belgravia,apartment,1,802.5,71600.0,2026-05-30
rent_00064,dld,Dubai,Jumeirah Village Circle,Belgravia,apartment,1,762.5,75400.0,2025-10-17
rent_00065,dld,Dubai,Jumeirah Village Circle,Pantheon,apartment,1,692.8,55500.0,2025-09-13
rent_00066,dld,Dubai,Jumeirah Village Circle,Pantheon,apartment,1,780.8,66700.0,2026-02-17
rent_00067,dld,Dubai,Jumeirah Village Circle,Belgravia,apartment,1,874.1,78200.0,2026-02-25
rent_00068,dld,Dubai,Jumeirah Village Circle,Belgravia,apartment,1,736.4,59000.0,2026-03-13
rent_00069,dld,Dubai,Jumeirah Village Circle,Pantheon,apartment,1,788.1,59000.0,2026-03-10
rent_00070,dld,Dubai,Jumeirah Village Circle,Bloom Towers,apartment,1,780.7,66200.0,2026-02-07
rent_00071,dld,Dubai,Jumeirah Village Circle,Bloom Towers,apartment,1,754.7,64200.0,2026-01-26
rent_00072,dld,Dubai,Jumeirah Village Circle,Bloom Towers,apartment,2,1222.8,113200.0,2025-12-05
rent_00073,dld,Dubai,Jumeirah Village Circle,Belgravia,apartment,2,1147.7,101800.0,2026-05-23
rent_00074,dld,Dubai,Jumeirah Village Circle,Belgravia,apartment,2,1149.3,104400.0,2025-06-18
rent_00075,dld,Dubai,Jumeirah Village Circle,Belgravia,apartment,2,1271.5,123100.0,2025-11-20
rent_00076,dld,Dubai,Jumeirah Village Circle,Bloom Towers,apartment,2,1181.0,101800.0,2025-12-10
rent_00077,dld,Dubai,Jumeirah Village Circle,Belgravia,apartment,2,1134.0,87500.0,2025-10-27
rent_00078,dld,Dubai,Jumeirah Village Circle,Belgravia,apartment,2,1125.6,97500.0,2025-08-10
rent_00079,dld,Dubai,Jumeirah Village Circle,Bloom Towers,apartment,2,1102.1,96400.0,2025-11-22
rent_00080,dld,Dubai,Jumeirah Village Circle,Pantheon,apartment,2,1221.0,121200.0,2025-10-20
rent_00081,dld,Dubai,Jumeirah Village Circle,Pantheon,apartment,2,1214.3,96700.0,2026-02-10
rent_00082,dld,Dubai,Jumeirah Village Circle,Pantheon,apartment,2,1292.1,104100.0,2026-05-10
rent_00083,dld,Dubai,Jumeirah Village Circle,Bloom Towers,apartment,2,1177.2,100700.0,2026-04-02
rent_00084,dld,Dubai,Jumeirah Village Circle,Bloom Towers,apartment,3,1668.9,156100.0,2025-09-28
rent_00085,dld,Dubai,Jumeirah Village Circle,Belgravia,apartment,3,1557.8,143000.0,2026-02-24
rent_00086,dld,Dubai,Jumeirah Village Circle,Belgravia,apartment,3,1636.7,125300.0,2026-05-29
rent_00087,dld,Dubai,Jumeirah Village Circle,Pantheon,apartment,3,1694.4,157800.0,2025-07-02
rent_00088,dld,Dubai,Jumeirah Village Circle,Bloom Towers,apartment,3,1691.4,152500.0,2025-12-18
rent_00089,dld,Dubai,Jumeirah Village Circle,Pantheon,apartment,3,1805.4,142600.0,2025-12-05
rent_00090,dld,Dubai,Jumeirah Village Circle,Belgravia,apartment,3,1725.2,159800.0,2025-07-21
rent_00091,dld,Dubai,Jumeirah Village Circle,Belgravia,apartment,3,1457.5,118600.0,2026-01-24
rent_00092,dld,Dubai,Jumeirah Village Circle,Bloom Towers,apartment,3,1680.1,149500.0,2026-03-01
rent_00093,dld,Dubai,Jumeirah Village Circle,Pantheon,apartment,3,1762.1,149400.0,2025-12-14
rent_00094,dld,Dubai,Jumeirah Village Circle,Pantheon,apartment,3,1653.5,146500.0,2026-05-20
rent_00095,dld,Dubai,Jumeirah Village Circle,Bloom Towers,apartment,3,1764.4,161600.0,2026-03-10
rent_00096,dld,Dubai,Business Bay,Executive Towers,apartment,0,375.4,40700.0,2026-04-02
rent_00097,dld,Dubai,Business Bay,Damac Maison,apartment,0,444.9,45600.0,2025-11-14
rent_00098,dld,Dubai,Business Bay,Executive Towers,apartment,0,460.4,59000.0,2026-04-24
rent_00099,dld,Dubai,Business Bay,Executive Towers,apartment,0,472.7,57700.0,2025-08-01
rent_00100,dld,Dubai,Business Bay,Merano,apartment,0,522.9,66500.0,2026-05-19
rent_00101,dld,Dubai,Business Bay,Merano,apartment,0,472.3,60700.0,2025-09-21
rent_00102,dld,Dubai,Business Bay,Executive Towers,apartment,0,448.2,57700.0,2026-05-20
rent_00103,dld,Dubai,Business Bay,Executive Towers,apartment,0,531.0,59900.0,2026-05-12
rent_00104,dld,Dubai,Business Bay,Merano,apartment,0,451.6,51900.0,2025-08-06
rent_00105,dld,Dubai,Business Bay,Damac Maison,apartment,0,383.8,44300.0,2026-01-09
rent_00106,dld,Dubai,Business Bay,Executive Towers,apartment,0,446.4,60300.0,2025-12-13
rent_00107,dld,Dubai,Business Bay,Merano,apartment,0,495.6,60100.0,2025-08-14
rent_00108,dld,Dubai,Business Bay,Executive Towers,apartment,1,793.1,103400.0,2025-07-25
rent_00109,dld,Dubai,Business Bay,Damac Maison,apartment,1,803.2,98000.0,2026-03-09
rent_00110,dld,Dubai,Business Bay,Merano,apartment,1,799.0,110000.0,2025-12-05
rent_00111,dld,Dubai,Business Bay,Damac Maison,apartment,1,799.6,103500.0,2026-02-22
rent_00112,dld,Dubai,Business Bay,Executive Towers,apartment,1,780.5,77400.0,2026-04-20
rent_00113,dld,Dubai,Business Bay,Merano,apartment,1,676.1,88700.0,2026-04-26
rent_00114,dld,Dubai,Business Bay,Executive Towers,apartment,1,826.8,92200.0,2026-03-19
rent_00115,dld,Dubai,Business Bay,Executive Towers,apartment,1,792.2,94100.0,2026-05-27
rent_00116,dld,Dubai,Business Bay,Executive Towers,apartment,1,784.0,111400.0,2026-05-28
rent_00117,dld,Dubai,Business Bay,Damac Maison,apartment,1,829.1,104500.0,2025-11-09
rent_00118,dld,Dubai,Business Bay,Merano,apartment,1,771.1,78600.0,2026-06-10
rent_00119,dld,Dubai,Business Bay,Damac Maison,apartment,1,818.0,90700.0,2026-03-11
rent_00120,dld,Dubai,Business Bay,Merano,apartment,2,1131.0,148700.0,2025-11-23
rent_00121,dld,Dubai,Business Bay,Damac Maison,apartment,2,1226.1,152300.0,2025-09-12
rent_00122,dld,Dubai,Business Bay,Executive Towers,apartment,2,1194.0,130300.0,2026-03-15
rent_00123,dld,Dubai,Business Bay,Damac Maison,apartment,2,1190.6,144900.0,2026-02-13
rent_00124,dld,Dubai,Business Bay,Damac Maison,apartment,2,1291.3,170600.0,2025-06-23
rent_00125,dld,Dubai,Business Bay,Damac Maison,apartment,2,1155.1,142100.0,2025-12-18
rent_00126,dld,Dubai,Business Bay,Damac Maison,apartment,2,1284.8,164900.0,2025-12-03
rent_00127,dld,Dubai,Business Bay,Damac Maison,apartment,2,1117.5,140300.0,2026-04-29
rent_00128,dld,Dubai,Business Bay,Damac Maison,apartment,2,1163.1,137300.0,2026-05-09
rent_00129,dld,Dubai,Business Bay,Executive Towers,apartment,2,1154.9,114000.0,2026-05-19
rent_00130,dld,Dubai,Business Bay,Executive Towers,apartment,2,1130.5,134900.0,2025-09-10
rent_00131,dld,Dubai,Business Bay,Damac Maison,apartment,2,1160.6,145800.0,2025-11-12
rent_00132,dld,Dubai,Business Bay,Executive Towers,apartment,3,1647.3,205400.0,2025-06-29
rent_00133,dld,Dubai,Business Bay,Merano,apartment,3,1535.9,191300.0,2026-01-05
rent_00134,dld,Dubai,Business Bay,Merano,apartment,3,1695.4,174100.0,2026-04-16
rent_00135,dld,Dubai,Business Bay,Merano,apartment,3,1530.7,186100.0,2025-12-20
rent_00136,dld,Dubai,Business Bay,Merano,apartment,3,1581.7,182400.0,2026-01-17
rent_00137,dld,Dubai,Business Bay,Merano,apartment,3,1634.3,202500.0,2025-10-17
rent_00138,dld,Dubai,Business Bay,Executive Towers,apartment,3,1800.0,218400.0,2025-08-29
rent_00139,dld,Dubai,Business Bay,Executive Towers,apartment,3,1611.7,169700.0,2026-03-06
rent_00140,dld,Dubai,Business Bay,Merano,apartment,3,1663.8,165100.0,2025-10-09
rent_00141,dld,Dubai,Business Bay,Executive Towers,apartment,3,1608.1,212500.0,2026-03-25
rent_00142,dld,Dubai,Business Bay,Merano,apartment,3,1553.0,199200.0,2025-11-09
rent_00143,dld,Dubai,Business Bay,Damac Maison,apartment,3,1624.0,184700.0,2026-01-02
rent_00144,dld,Dubai,Downtown Dubai,The Address,apartment,0,395.8,42600.0,2025-12-06
rent_00145,dld,Dubai,Downtown Dubai,Boulevard Point,apartment,0,502.8,60300.0,2026-04-22
rent_00146,dld,Dubai,Downtown Dubai,Boulevard Point,apartment,0,491.3,69800.0,2025-07-04
rent_00147,dld,Dubai,Downtown Dubai,Boulevard Point,apartment,0,459.5,64100.0,2026-05-06
rent_00148,dld,Dubai,Downtown Dubai,Boulevard Point,apartment,0,488.4,56100.0,2026-01-25
rent_00149,dld,Dubai,Downtown Dubai,The Address,apartment,0,453.3,52300.0,2026-05-04
rent_00150,dld,Dubai,Downtown Dubai,Burj Vista,apartment,0,413.7,47700.0,2026-01-18
rent_00151,dld,Dubai,Downtown Dubai,Boulevard Point,apartment,0,487.5,59800.0,2025-07-26
rent_00152,dld,Dubai,Downtown Dubai,The Address,apartment,0,475.8,54900.0,2026-03-28
rent_00153,dld,Dubai,Downtown Dubai,Burj Vista,apartment,0,482.6,70600.0,2026-06-01
rent_00154,dld,Dubai,Downtown Dubai,The Address,apartment,0,447.4,58300.0,2025-08-15
rent_00155,dld,Dubai,Downtown Dubai,The Address,apartment,0,445.2,53500.0,2025-07-05
rent_00156,dld,Dubai,Downtown Dubai,Boulevard Point,apartment,1,741.3,89100.0,2025-10-22
rent_00157,dld,Dubai,Downtown Dubai,Boulevard Point,apartment,1,826.6,98000.0,2026-05-01
rent_00158,dld,Dubai,Downtown Dubai,Burj Vista,apartment,1,690.3,77900.0,2025-08-12
rent_00159,dld,Dubai,Downtown Dubai,Boulevard Point,apartment,1,772.8,87700.0,2025-11-25
rent_00160,dld,Dubai,Downtown Dubai,The Address,apartment,1,743.8,89200.0,2025-11-20
rent_00161,dld,Dubai,Downtown Dubai,Burj Vista,apartment,1,811.0,100500.0,2025-07-16
rent_00162,dld,Dubai,Downtown Dubai,Burj Vista,apartment,1,759.7,96200.0,2025-07-19
rent_00163,dld,Dubai,Downtown Dubai,The Address,apartment,1,737.5,91500.0,2025-10-30
rent_00164,dld,Dubai,Downtown Dubai,The Address,apartment,1,789.9,103000.0,2026-06-07
rent_00165,dld,Dubai,Downtown Dubai,Burj Vista,apartment,1,865.0,100400.0,2025-09-01
rent_00166,dld,Dubai,Downtown Dubai,Boulevard Point,apartment,1,778.3,95600.0,2025-12-09
rent_00167,dld,Dubai,Downtown Dubai,The Address,apartment,1,785.0,102900.0,2026-02-10
rent_00168,dld,Dubai,Downtown Dubai,The Address,apartment,2,1179.8,154300.0,2026-04-11
rent_00169,dld,Dubai,Downtown Dubai,The Address,apartment,2,1234.2,144600.0,2025-11-27
rent_00170,dld,Dubai,Downtown Dubai,Boulevard Point,apartment,2,1336.5,164000.0,2025-07-02
rent_00171,dld,Dubai,Downtown Dubai,Boulevard Point,apartment,2,1141.2,153400.0,2026-06-04
rent_00172,dld,Dubai,Downtown Dubai,Boulevard Point,apartment,2,1197.6,158700.0,2026-06-02
rent_00173,dld,Dubai,Downtown Dubai,Burj Vista,apartment,2,1266.2,166800.0,2025-09-14
rent_00174,dld,Dubai,Downtown Dubai,Burj Vista,apartment,2,1205.4,158600.0,2026-01-20
rent_00175,dld,Dubai,Downtown Dubai,The Address,apartment,2,1137.4,157600.0,2025-10-17
rent_00176,dld,Dubai,Downtown Dubai,The Address,apartment,2,1237.0,154400.0,2025-11-22
rent_00177,dld,Dubai,Downtown Dubai,The Address,apartment,2,1180.8,160800.0,2025-11-27
rent_00178,dld,Dubai,Downtown Dubai,Boulevard Point,apartment,2,1058.8,129100.0,2025-08-04
rent_00179,dld,Dubai,Downtown Dubai,The Address,apartment,2,1164.9,126000.0,2026-05-16
rent_00180,dld,Dubai,Downtown Dubai,The Address,apartment,3,1769.6,217900.0,2026-01-02
rent_00181,dld,Dubai,Downtown Dubai,Burj Vista,apartment,3,1810.4,215500.0,2025-12-31
rent_00182,dld,Dubai,Downtown Dubai,The Address,apartment,3,1755.3,220900.0,2025-07-23
rent_00183,dld,Dubai,Downtown Dubai,Boulevard Point,apartment,3,1682.2,223400.0,2025-07-15
rent_00184,dld,Dubai,Downtown Dubai,Boulevard Point,apartment,3,1534.6,198100.0,2025-07-04
rent_00185,dld,Dubai,Downtown Dubai,Boulevard Point,apartment,3,1749.0,222600.0,2025-10-13
rent_00186,dld,Dubai,Downtown Dubai,The Address,apartment,3,1780.3,219600.0,2026-06-02
rent_00187,dld,Dubai,Downtown Dubai,Boulevard Point,apartment,3,1668.2,235600.0,2026-03-21
rent_00188,dld,Dubai,Downtown Dubai,Burj Vista,apartment,3,1751.0,191200.0,2025-07-25
rent_00189,dld,Dubai,Downtown Dubai,Burj Vista,apartment,3,1655.8,175000.0,2025-09-04
rent_00190,dld,Dubai,Downtown Dubai,Burj Vista,apartment,3,1661.2,175400.0,2026-04-02
rent_00191,dld,Dubai,Downtown Dubai,Boulevard Point,apartment,3,1846.4,252300.0,2025-07-19
rent_00192,dld,Dubai,Palm Jumeirah,Azure Residences,apartment,0,461.3,73100.0,2026-03-22
rent_00193,dld,Dubai,Palm Jumeirah,Shoreline,apartment,0,491.3,66500.0,2026-01-10
rent_00194,dld,Dubai,Palm Jumeirah,Shoreline,apartment,0,472.1,59800.0,2026-02-28
rent_00195,dld,Dubai,Palm Jumeirah,Azure Residences,apartment,0,522.7,79200.0,2025-12-14
rent_00196,dld,Dubai,Palm Jumeirah,Palme Couture,apartment,0,465.0,67100.0,2025-12-05
rent_00197,dld,Dubai,Palm Jumeirah,Azure Residences,apartment,0,437.5,59200.0,2026-03-29
rent_00198,dld,Dubai,Palm Jumeirah,Palme Couture,apartment,0,497.9,67200.0,2025-09-25
rent_00199,dld,Dubai,Palm Jumeirah,Shoreline,apartment,0,457.6,67900.0,2025-08-03
rent_00200,dld,Dubai,Palm Jumeirah,Azure Residences,apartment,0,487.4,71100.0,2025-09-20
rent_00201,dld,Dubai,Palm Jumeirah,Shoreline,apartment,0,468.5,70900.0,2025-08-09
rent_00202,dld,Dubai,Palm Jumeirah,Shoreline,apartment,0,519.6,77800.0,2025-08-20
rent_00203,dld,Dubai,Palm Jumeirah,Palme Couture,apartment,0,415.6,56800.0,2025-07-10
rent_00204,dld,Dubai,Palm Jumeirah,Azure Residences,apartment,1,793.4,99600.0,2026-05-06
rent_00205,dld,Dubai,Palm Jumeirah,Palme Couture,apartment,1,754.6,120200.0,2026-01-20
rent_00206,dld,Dubai,Palm Jumeirah,Shoreline,apartment,1,789.6,123900.0,2025-12-16
rent_00207,dld,Dubai,Palm Jumeirah,Azure Residences,apartment,1,733.5,104900.0,2026-05-19
rent_00208,dld,Dubai,Palm Jumeirah,Shoreline,apartment,1,717.7,91900.0,2025-11-01
rent_00209,dld,Dubai,Palm Jumeirah,Azure Residences,apartment,1,751.8,106000.0,2025-12-23
rent_00210,dld,Dubai,Palm Jumeirah,Shoreline,apartment,1,748.2,108400.0,2025-12-23
rent_00211,dld,Dubai,Palm Jumeirah,Shoreline,apartment,1,743.9,120400.0,2026-02-09
rent_00212,dld,Dubai,Palm Jumeirah,Shoreline,apartment,1,748.0,120100.0,2026-04-18
rent_00213,dld,Dubai,Palm Jumeirah,Palme Couture,apartment,1,754.2,108200.0,2025-09-17
rent_00214,dld,Dubai,Palm Jumeirah,Shoreline,apartment,1,848.6,116000.0,2026-03-12
rent_00215,dld,Dubai,Palm Jumeirah,Azure Residences,apartment,1,784.2,105900.0,2026-01-25
rent_00216,dld,Dubai,Palm Jumeirah,Azure Residences,apartment,2,1180.4,184800.0,2025-07-29
rent_00217,dld,Dubai,Palm Jumeirah,Azure Residences,apartment,2,1228.7,193200.0,2026-06-02
rent_00218,dld,Dubai,Palm Jumeirah,Palme Couture,apartment,2,1164.9,176800.0,2025-10-05
rent_00219,dld,Dubai,Palm Jumeirah,Palme Couture,apartment,2,1221.7,176100.0,2025-08-21
rent_00220,dld,Dubai,Palm Jumeirah,Azure Residences,apartment,2,1112.3,177600.0,2025-07-23
rent_00221,dld,Dubai,Palm Jumeirah,Azure Residences,apartment,2,1296.1,181200.0,2025-10-22
rent_00222,dld,Dubai,Palm Jumeirah,Shoreline,apartment,2,1349.4,181200.0,2026-03-14
rent_00223,dld,Dubai,Palm Jumeirah,Palme Couture,apartment,2,1191.5,188300.0,2026-03-23
rent_00224,dld,Dubai,Palm Jumeirah,Azure Residences,apartment,2,1178.5,163900.0,2026-06-09
rent_00225,dld,Dubai,Palm Jumeirah,Palme Couture,apartment,2,1112.7,159300.0,2025-08-23
rent_00226,dld,Dubai,Palm Jumeirah,Azure Residences,apartment,2,1108.6,152900.0,2026-04-13
rent_00227,dld,Dubai,Palm Jumeirah,Shoreline,apartment,2,1078.8,151800.0,2026-04-25
rent_00228,dld,Dubai,Palm Jumeirah,Palme Couture,apartment,3,1659.2,236000.0,2026-06-13
rent_00229,dld,Dubai,Palm Jumeirah,Shoreline,apartment,3,1633.1,248300.0,2026-02-12
rent_00230,dld,Dubai,Palm Jumeirah,Palme Couture,apartment,3,1652.6,247800.0,2026-04-08
rent_00231,dld,Dubai,Palm Jumeirah,Shoreline,apartment,3,1737.3,279500.0,2025-11-16
rent_00232,dld,Dubai,Palm Jumeirah,Azure Residences,apartment,3,1519.1,227300.0,2026-04-11
rent_00233,dld,Dubai,Palm Jumeirah,Azure Residences,apartment,3,1677.4,260200.0,2025-09-01
rent_00234,dld,Dubai,Palm Jumeirah,Palme Couture,apartment,3,1548.5,226800.0,2025-12-14
rent_00235,dld,Dubai,Palm Jumeirah,Shoreline,apartment,3,1675.5,264800.0,2025-09-22
rent_00236,dld,Dubai,Palm Jumeirah,Azure Residences,apartment,3,1569.5,211100.0,2025-07-27
rent_00237,dld,Dubai,Palm Jumeirah,Azure Residences,apartment,3,1662.7,264700.0,2025-10-02
rent_00238,dld,Dubai,Palm Jumeirah,Azure Residences,apartment,3,1750.5,256400.0,2025-10-18
rent_00239,dld,Dubai,Palm Jumeirah,Azure Residences,apartment,3,1612.1,247800.0,2026-02-18
rent_00240,dld,Dubai,Dubai Hills Estate,Maple,townhouse,3,2310.3,240500.0,2026-01-02
rent_00241,dld,Dubai,Dubai Hills Estate,Club Villas,townhouse,3,2176.7,215000.0,2025-06-17
rent_00242,dld,Dubai,Dubai Hills Estate,Sidra,townhouse,3,2239.9,213500.0,2025-07-25
rent_00243,dld,Dubai,Dubai Hills Estate,Maple,townhouse,3,2293.3,219200.0,2026-02-04
rent_00244,dld,Dubai,Dubai Hills Estate,Sidra,townhouse,3,2181.3,210600.0,2026-03-11
rent_00245,dld,Dubai,Dubai Hills Estate,Club Villas,townhouse,3,2221.4,229000.0,2026-05-07
rent_00246,dld,Dubai,Dubai Hills Estate,Sidra,townhouse,3,2223.2,232900.0,2026-03-26
rent_00247,dld,Dubai,Dubai Hills Estate,Club Villas,townhouse,3,2223.7,204900.0,2025-11-29
rent_00248,dld,Dubai,Dubai Hills Estate,Maple,townhouse,3,2080.6,197600.0,2025-08-12
rent_00249,dld,Dubai,Dubai Hills Estate,Sidra,townhouse,3,2033.1,179400.0,2025-06-18
rent_00250,dld,Dubai,Dubai Hills Estate,Maple,townhouse,3,2428.0,225800.0,2025-10-28
rent_00251,dld,Dubai,Dubai Hills Estate,Club Villas,townhouse,3,2146.8,192700.0,2025-09-05
rent_00252,dld,Dubai,Dubai Hills Estate,Maple,townhouse,4,3098.2,326700.0,2026-05-22
rent_00253,dld,Dubai,Dubai Hills Estate,Sidra,townhouse,4,2804.9,253900.0,2026-03-16
rent_00254,dld,Dubai,Dubai Hills Estate,Club Villas,townhouse,4,2865.2,297700.0,2026-04-07
rent_00255,dld,Dubai,Dubai Hills Estate,Sidra,townhouse,4,2623.9,249200.0,2025-07-30
rent_00256,dld,Dubai,Dubai Hills Estate,Maple,townhouse,4,2529.6,249800.0,2026-06-03
rent_00257,dld,Dubai,Dubai Hills Estate,Club Villas,townhouse,4,2437.7,236100.0,2025-11-08
rent_00258,dld,Dubai,Dubai Hills Estate,Club Villas,townhouse,4,2506.0,251600.0,2026-02-28
rent_00259,dld,Dubai,Dubai Hills Estate,Club Villas,townhouse,4,2821.5,287700.0,2025-06-30
rent_00260,dld,Dubai,Dubai Hills Estate,Sidra,townhouse,4,2438.1,225600.0,2025-12-26
rent_00261,dld,Dubai,Dubai Hills Estate,Maple,townhouse,4,2612.2,238800.0,2025-09-18
rent_00262,dld,Dubai,Dubai Hills Estate,Maple,townhouse,4,2983.9,303300.0,2025-12-27
rent_00263,dld,Dubai,Dubai Hills Estate,Maple,townhouse,4,2856.8,285600.0,2025-10-22
rent_00264,dld,Dubai,Arabian Ranches,Alvorada,villa,3,2871.5,234000.0,2026-01-29
rent_00265,dld,Dubai,Arabian Ranches,Alvorada,villa,3,2996.7,243600.0,2026-01-06
